Task ID,Phase,Task Description,Responsible Party,Start Date,End Date,Duration (Days),Status,Dependencies,Resources Required,Estimated Cost,Priority,Notes
T-01,1,Review and finalize WISP documents,Management,5/1/2025,5/15/2025,15,Not Started,None,Management time,$0,High,Internal review only
T-02,1,Distribute Acceptable Use Policy to all staff,Management,5/16/2025,5/23/2025,7,Not Started,T-01,Management time,$0,High,Require signatures from all team members
T-03,1,Implement LastPass Enterprise,Security Lead,5/16/2025,5/30/2025,14,Not Started,T-01,IT support time,$432/year,High,$6/user/month for 6 users (can scale as team grows)
T-04,1,Enable 2FA for key business applications,All Staff,5/23/2025,6/6/2025,14,Not Started,T-03,Staff time,$0,High,Focus on O365 and other critical platforms
T-05,1,Verify device encryption status for all team members,Security Lead,5/23/2025,6/6/2025,14,Not Started,T-02,IT support time,$0,High,May identify devices requiring encryption
T-06,1,Develop incident response process,Security Lead,5/23/2025,6/13/2025,21,Not Started,T-01,Security Lead time,$0,High,Create simple process for small organization
T-07,1,Review Novartis MSA requirements in detail,Management,5/16/2025,5/30/2025,14,Not Started,None,Management time,$0,Critical,Identify any specific compliance gaps
T-08,1,Implement basic backup solution for critical data,Security Lead,5/23/2025,6/13/2025,21,Not Started,T-01,IT support time,$900/year,High,Consider Microsoft 365 backup solution
T-09,2,"Consolidate all file storage from Dropbox to SharePoint/O365, including repository cleanup",All Staff,6/16/2025,7/11/2025,25,Not Started,T-04,Staff time + IT support,$0,High,"Use existing O365 licenses, complete thorough cleanup before migration"
T-10,2,Configure O365 security settings,Security Lead,6/16/2025,6/27/2025,11,Not Started,T-04,IT support time,$0,Medium,Enable available security features
T-11,2,Develop onboarding/offboarding security checklist,Management,6/16/2025,6/27/2025,11,Not Started,T-01,Management time,$0,Medium,Align with W-2 employee transition
T-12,2,Implement VPN solution for remote work,Security Lead,6/30/2025,7/18/2025,18,Not Started,T-05,IT support time,$900/year,Medium,$15/user/month for 5 users (can scale)
T-13,2,Create data classification guidelines,Management,6/30/2025,7/18/2025,18,Not Started,T-01,Management time,$0,Medium,Focus on pharmaceutical client data
T-14,2,Develop basic vendor assessment questionnaire,Security Lead,6/30/2025,7/18/2025,18,Not Started,T-01,Security Lead time,$0,Medium,Simple form for small vendors
